iata,nom,ville,pays,latitude,longitude
CDG,Roissy Charles de Gaulle,Paris,FR,49.0097,2.5479
ORY,Orly,Paris,FR,48.7233,2.3794
NCE,Cote d'Azur,Nice,FR,43.6584,7.2159
LYS,Saint-Exupery,Lyon,FR,45.7256,5.0811
MRS,Provence,Marseille,FR,43.4393,5.2214
TLS,Blagnac,Toulouse,FR,43.6293,1.3638
BOD,Merignac,Bordeaux,FR,44.8283,-0.7156
NTE,Atlantique,Nantes,FR,47.1532,-1.6107
PTP,Pole Caraibes,Pointe-a-Pitre,FR,16.2653,-61.5318
FDF,Aime Cesaire,Fort-de-France,FR,14.5910,-61.0032
RUN,Roland Garros,Saint-Denis,FR,-20.8871,55.5103
CAY,Felix Eboue,Cayenne,FR,4.8198,-52.3644
FRA,Frankfurt,Francfort,DE,50.0379,8.5622
MUC,Franz Josef Strauss,Munich,DE,48.3538,11.7861
BER,Brandenburg,Berlin,DE,52.3667,13.5033
DUS,Dusseldorf,Dusseldorf,DE,51.2895,6.7668
HAM,Hamburg,Hambourg,DE,53.6304,9.9882
AMS,Schiphol,Amsterdam,NL,52.3105,4.7683
BRU,Zaventem,Bruxelles,BE,50.9014,4.4844
LUX,Findel,Luxembourg,LU,49.6266,6.2115
VIE,Schwechat,Vienne,AT,48.1103,16.5697
MAD,Barajas,Madrid,ES,40.4719,-3.5626
BCN,El Prat,Barcelone,ES,41.2971,2.0785
AGP,Malaga,Malaga,ES,36.6749,-4.4991
PMI,Son Sant Joan,Palma,ES,39.5517,2.7388
IBZ,Ibiza,Ibiza,ES,38.8729,1.3731
ALC,Alicante,Alicante,ES,38.2822,-0.5582
VLC,Valence,Valence,ES,39.4893,-0.4816
SVQ,Seville,Seville,ES,37.4180,-5.8931
LPA,Gran Canaria,Las Palmas,ES,27.9319,-15.3866
TFS,Tenerife Sud,Tenerife,ES,28.0445,-16.5725
LIS,Humberto Delgado,Lisbonne,PT,38.7742,-9.1342
OPO,Francisco Sa Carneiro,Porto,PT,41.2481,-8.6814
FAO,Faro,Faro,PT,37.0144,-7.9659
FNC,Cristiano Ronaldo,Funchal,PT,32.6979,-16.7745
FCO,Fiumicino,Rome,IT,41.8003,12.2389
MXP,Malpensa,Milan,IT,45.6306,8.7281
LIN,Linate,Milan,IT,45.4451,9.2767
NAP,Capodichino,Naples,IT,40.8860,14.2908
VCE,Marco Polo,Venise,IT,45.5053,12.3519
BLQ,Guglielmo Marconi,Bologne,IT,44.5354,11.2887
CTA,Fontanarossa,Catane,IT,37.4668,15.0664
PMO,Falcone Borsellino,Palerme,IT,38.1760,13.0910
ATH,Eleftherios Venizelos,Athenes,GR,37.9364,23.9445
SKG,Macedonia,Thessalonique,GR,40.5197,22.9709
HER,Nikos Kazantzakis,Heraklion,GR,35.3397,25.1803
RHO,Diagoras,Rhodes,GR,36.4054,28.0862
JTR,Santorin,Santorin,GR,36.3992,25.4793
DUB,Dublin,Dublin,IE,53.4213,-6.2701
